DELAY,RATE,MONTH,DAY,HOUR,TOPIC,UNIQUE USERS,THREAD,REPLYS,DEPTH,WIDTH,WORDS NUM,NUM QUESTION,NUM EXCLAMATION,COMPLEXITY,NUM COM E,FRAC E A,FRAC E C,QUESTION TL,EXCLAMATION TL,URL C,PUB TO APP,FC TO MIDNIGHT,DAY OF WEEK,WEEK OF MONTH,AUTHOR,Art Len,Art Neg,Art Pos,Art Hostile,20 Com Neg,20 Com Pos,20 Com Hostile,Art Sentiment Score,10 Com Sentiment Score,Volume
25,0.010121457,11,10,14,116,11,10,10,3,10,889,18,1,4.1697,4,0.0714,0.5,0,0,0,-4,880,3,2,706,1102,59,50,33,34,29,32,0.999417,0.277029233,1.301029996
13,0.131578947,11,10,12,116,17,15,5,3,15,793,7,7,4.1879,6,0.04,0.5,0,0,0,-7,733,3,2,1469,813,28,49,6,30,31,22,0.999999,0.403287196,2.401400541
25,0.210526316,11,10,21,116,19,18,2,2,18,519,17,3,3.5998,15,0.2,0.2857,0,0,1,2,1314,3,2,680,447,1,22,15,25,25,22,0.0108899,0.359003949,1.892094603
45,0.175438596,11,9,16,116,14,14,6,3,14,1159,12,15,4.8027,12,0,0,0,0,0,-26,1035,2,2,186,54,0,0,0,41,50,30,4.42E-06,0.524828451,2.376576957
104,0.263157895,11,11,10,116,18,9,11,2,9,765,2,1,4.0872,4,0.0645,0.5,0,0,0,14,704,4,2,81,987,14,37,41,26,31,23,0.00905409,0.247984246,2.071882007
49,0.350877193,11,11,4,116,12,9,11,3,9,876,7,0,4.3795,11,0.0962,0.4545,0,0,1,9,316,4,2,312,1310,40,46,27,27,30,27,1,0.566604808,2.763427994
7,0.210526316,11,10,15,116,15,15,5,3,15,711,15,1,3.8359,8,0.25,0.7143,0,0,0,-3,922,3,2,706,730,46,28,28,25,33,22,8.35E-05,0.475889793,1.982271233
52,0.031897927,11,11,1,165,13,9,11,3,9,1254,6,7,5.0852,8,0.0882,0.5,0,0,1,18,139,4,2,895,973,26,11,19,88,41,45,0.999999,0.209121051,1.431363764
67,0.08097166,11,12,21,511,16,16,4,3,16,578,6,1,3.742,10,0.0345,0.1,0,0,0,-38,1331,5,2,895,735,26,26,20,31,8,24,0.99689,0.245291552,1.643452676
25,0.025062657,11,13,23,511,15,1,19,1,1,1229,5,6,4.5318,21,0.0889,0.3077,0,0,1,-11,74,6,2,117,872,39,30,17,70,34,49,0.999994,0.629831594,1.954242509
33,0.017841213,11,13,14,417,16,10,10,3,10,971,6,0,4.4816,26,0.2083,0.2778,1,0,1,-69,877,6,2,1469,611,18,30,2,36,34,25,7.84E-06,0.276036983,1.643452676
29,0.526315789,11,14,1,235,17,15,5,2,15,1115,4,0,4.7194,8,0.0833,0.4,0,0,0,-9,112,7,2,946,811,39,41,23,54,63,37,0.206566,0.462882436,3.018284308
25,0.016194332,11,10,17,235,15,14,6,3,14,1442,3,9,4.9637,13,0.2174,0.5,0,0,1,-89,1075,3,2,706,637,23,26,15,57,61,43,0.00171712,0.373105138,1.322219295
758,0.015948963,11,12,11,511,17,15,5,2,15,771,7,3,4.1187,14,0.1538,0.3636,0,0,1,-47,35,5,2,706,877,40,35,18,24,29,20,0.999998,0.441991838,1.51851394
48,0.04048583,11,13,1,235,15,12,8,2,12,944,5,6,4.329,5,0.0435,0.5,0,0,0,-33,155,6,2,538,891,22,36,14,26,37,34,0.003553,0.240003713,2.374748346
558,0.011441648,11,11,4,511,15,12,8,3,12,817,11,5,4.0482,10,0.0385,0.1111,0,0,1,-78,818,4,2,1177,724,6,14,19,26,30,35,0.838999,0.476168626,1.322219295
30,0.526315789,11,13,1,511,12,13,7,3,13,670,10,2,4.0046,11,0.0263,0.1111,0,0,0,-33,107,6,2,256,723,19,30,19,16,22,15,0.000199917,0.388381153,2.67669361
76,0.210526316,11,14,16,417,7,6,14,3,9,623,6,0,3.9378,14,0.0769,0.2222,0,0,0,-42,1081,7,2,1291,874,34,11,25,41,14,22,0.99993,0.593173781,1.414973348
65,0.350877193,11,14,19,511,14,12,8,3,12,915,5,7,4.3899,13,0.0862,0.5,0,0,0,8,1247,7,2,587,1442,67,22,36,36,30,32,0.999986,0.509249789,2.123851641
209,0.019860973,11,13,21,511,13,10,10,3,10,883,6,2,4.4774,10,0.0714,0.1667,0,0,0,-13,76,6,2,519,485,16,12,26,31,24,26,0.999229,0.629444235,1.740362689
86,0.131578947,11,13,14,417,14,12,8,3,12,820,9,0,4.4586,13,0,0,0,0,0,-68,890,6,2,733,54,0,0,0,18,33,37,4.42E-06,0.226629223,2.567026366
